Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3527603;Interior;Luís Antônio;1977;33;;;
3527702;Interior;Luiziânia;306;10;;;
3527801;Interior;Lupércio;256;8;;;
3527900;Interior;Lutécia;225;6;;;
3528007;Interior;Macatuba;2769;58;;;
3528106;Interior;Macaubal;959;16;;;
3528205;Interior;Macedônia;395;21;;;
3528304;Interior;Magda;283;9;;;
3528403;Interior;Mairinque;4062;55;;;
3528502;RMSP (exceto capital);Mairiporã;6502;215;;;
3528601;Interior;Manduri;893;16;;;
3528700;Interior;Marabá Paulista;103;4;;;
3528809;Interior;Maracaí;2068;45;;;
3528858;Interior;Marapoama;468;14;;;
3528908;Interior;Mariápolis;260;8;;;
3529005;Interior;Marília;28287;857;;;
3529104;Interior;Marinópolis;209;4;;;
3529203;Interior;Martinópolis;1356;73;;;
3529302;Interior;Matão;5149;188;;;
3529401;RMSP (exceto capital);Mauá;29660;1447;;;
3529500;Interior;Mendonça;921;28;;;
3529609;Interior;Meridiano;338;28;;;
3529658;Interior;Mesópolis;189;3;;;
3529708;Interior;Miguelópolis;1107;81;;;
3529807;Interior;Mineiros do Tietê;1321;26;;;
3529906;Interior;Miracatu;2191;66;;;
3530003;Interior;Mira Estrela;329;12;;;
3530102;Interior;Mirandópolis;2110;93;;;
3530201;Interior;Mirante do Paranapanema;1017;37;;;
3530300;Interior;Mirassol;9197;259;;;
3530409;Interior;Mirassolândia;729;16;;;
3530508;Interior;Mococa;5509;203;;;
3530607;RMSP (exceto capital);Mogi das Cruzes;30095;1562;;;
3530706;Interior;Mogi Guaçu;18087;546;;;
3530805;Interior;Mogi Mirim;10604;324;;;
3530904;Interior;Mombuca;405;7;;;
3531001;Interior;Monções;230;5;;;
3531100;Interior;Mongaguá;1545;83;;;
3531209;Interior;Monte Alegre do Sul;619;8;;;
3531308;Interior;Monte Alto;5993;165;;;
3531407;Interior;Monte Aprazível;2916;88;;;
3531506;Interior;Monte Azul Paulista;2220;26;;;
3531605;Interior;Monte Castelo;620;15;;;
3531704;Interior;Monteiro Lobato;251;9;;;
3531803;Interior;Monte Mor;6345;123;;;
3531902;Interior;Morro Agudo;4522;99;;;
3532009;Interior;Morungaba;995;24;;;
3532058;Interior;Motuca;345;9;;;
3532108;Interior;Murutinga do Sul;392;15;;;
3532157;Interior;Nantes;236;6;;;
3532207;Interior;Narandiba;796;21;;;
3532306;Interior;Natividade da Serra;195;8;;;
3532405;Interior;Nazaré Paulista;1463;44;;;
3532504;Interior;Neves Paulista;1340;40;;;
3532603;Interior;Nhandeara;1350;47;;;
3532702;Interior;Nipoã;502;15;;;
3532801;Interior;Nova Aliança;1095;24;;;
3532827;Interior;Nova Campina;830;30;;;
3532843;Interior;Nova Canaã Paulista;281;5;;;
3532868;Interior;Nova Castilho;95;3;;;
3532900;Interior;Nova Europa;777;29;;;
3533007;Interior;Nova Granada;3052;69;;;
3533106;Interior;Nova Guataporanga;211;4;;;
3533205;Interior;Nova Independência;450;6;;;
3533254;Interior;Novais;300;12;;;
3533304;Interior;Nova Luzitânia;363;11;;;
3533403;Interior;Nova Odessa;6553;187;;;
3533502;Interior;Novo Horizonte;5601;201;;;
3533601;Interior;Nuporanga;381;10;;;
3533700;Interior;Ocauçu;396;4;;;
3533809;Interior;Óleo;127;1;;;
3533908;Interior;Olímpia;9639;246;;;
3534005;Interior;Onda Verde;885;26;;;
3534104;Interior;Oriente;351;21;;;
3534203;Interior;Orindiúva;1295;18;;;
3534302;Interior;Orlândia;4495;118;;;
3534401;RMSP (exceto capital);Osasco;41600;2405;;;
3534500;Interior;Oscar Bressane;295;7;;;
3534609;Interior;Osvaldo Cruz;4250;116;;;
3534708;Interior;Ourinhos;13434;375;;;
3534757;Interior;Ouroeste;1272;25;;;
3534807;Interior;Ouro Verde;953;26;;;
3534906;Interior;Pacaembu;1219;30;;;
3535002;Interior;Palestina;643;35;;;
3535101;Interior;Palmares Paulista;1441;42;;;
3535200;Interior;Palmeira d'Oeste;763;13;;;
3535309;Interior;Palmital;2630;68;;;
3535408;Interior;Panorama;1451;47;;;
3535507;Interior;Paraguaçu Paulista;4753;152;;;
3535606;Interior;Paraibuna;1211;44;;;
3535705;Interior;Paraíso;492;22;;;
3535804;Interior;Paranapanema;1993;67;;;
3535903;Interior;Paranapuã;446;21;;;
3536000;Interior;Parapuã;1437;36;;;
3536109;Interior;Pardinho;746;15;;;
3536208;Interior;Pariquera-Açu;2238;57;;;
3536257;Interior;Parisi;432;16;;;
3536307;Interior;Patrocínio Paulista;1010;31;;;
3536406;Interior;Paulicéia;758;15;;;
3536505;Interior;Paulínia;14783;269;;;
3536570;Interior;Paulistânia;166;5;;;
3536604;Interior;Paulo de Faria;631;24;;;
3536703;Interior;Pederneiras;4288;108;;;
3536802;Interior;Pedra Bela;185;4;;;
3536901;Interior;Pedranópolis;239;5;;;
3537008;Interior;Pedregulho;280;16;;;
3537107;Interior;Pedreira;3763;54;;;
3537156;Interior;Pedrinhas Paulista;410;5;;;
3537206;Interior;Pedro de Toledo;429;15;;;
3537305;Interior;Penápolis;6726;229;;;
3537404;Interior;Pereira Barreto;2425;92;;;
3537503;Interior;Pereiras;1115;22;;;
3537602;Interior;Peruíbe;6571;217;;;
3537701;Interior;Piacatu;783;9;;;
3537800;Interior;Piedade;5575;132;;;
3537909;Interior;Pilar do Sul;2920;78;;;
3538006;Interior;Pindamonhangaba;13098;287;;;
3538105;Interior;Pindorama;1690;55;;;
3538204;Interior;Pinhalzinho;950;5;;;
3538303;Interior;Piquerobi;236;4;;;
3538501;Interior;Piquete;335;15;;;
3538600;Interior;Piracaia;3308;44;;;
3538709;Interior;Piracicaba;59567;1243;;;
3538808;Interior;Piraju;1907;70;;;
3538907;Interior;Pirajuí;2279;53;;;
3539004;Interior;Pirangi;1640;63;;;
3539103;RMSP (exceto capital);Pirapora do Bom Jesus;1474;16;;;
3539202;Interior;Pirapozinho;2744;66;;;
3539301;Interior;Pirassununga;8581;232;;;
3539400;Interior;Piratininga;921;31;;;
3539509;Interior;Pitangueiras;4965;151;;;
3539608;Interior;Planalto;587;9;;;
3539707;Interior;Platina;343;11;;;
3539806;RMSP (exceto capital);Poá;8086;364;;;
3539905;Interior;Poloni;829;18;;;
3540002;Interior;Pompéia;919;27;;;
3540101;Interior;Pongaí;344;9;;;
3540200;Interior;Pontal;4954;156;;;
3540259;Interior;Pontalinda;190;14;;;
3540309;Interior;Pontes Gestal;380;8;;;
3540408;Interior;Populina;268;6;;;
3540507;Interior;Porangaba;863;19;;;
3540606;Interior;Porto Feliz;8315;132;;;
3540705;Interior;Porto Ferreira;6918;155;;;
3540754;Interior;Potim;1853;37;;;
3540804;Interior;Potirendaba;2895;72;;;
3540853;Interior;Pracinha;184;1;;;
3540903;Interior;Pradópolis;1829;36;;;
3541000;Interior;Praia Grande;20861;705;;;
3541059;Interior;Pratânia;833;11;;;
3541109;Interior;Presidente Alves;273;7;;;
3541208;Interior;Presidente Bernardes;1274;37;;;
3541307;Interior;Presidente Epitácio;2980;110;;;
3541406;Interior;Presidente Prudente;28753;829;;;
3541505;Interior;Presidente Venceslau;3358;102;;;
3541604;Interior;Promissão;5316;95;;;
3541653;Interior;Quadra;221;7;;;
3541703;Interior;Quatá;1264;29;;;
3541802;Interior;Queiroz;398;3;;;
3541901;Interior;Queluz;974;9;;;
3542008;Interior;Quintana;532;20;;;
3542107;Interior;Rafard;963;8;;;
3542206;Interior;Rancharia;3942;89;;;
3542305;Interior;Redenção da Serra;107;2;;;
3542404;Interior;Regente Feijó;680;58;;;
3542503;Interior;Reginópolis;307;18;;;
3542602;Interior;Registro;6333;208;;;
3542701;Interior;Restinga;595;8;;;
3542800;Interior;Ribeira;431;4;;;
3542909;Interior;Ribeirão Bonito;1006;26;;;
3543006;Interior;Ribeirão Branco;1791;51;;;
3543105;Interior;Ribeirão Corrente;294;3;;;
3543204;Interior;Ribeirão do Sul;649;13;;;
3543238;Interior;Ribeirão dos Índios;71;5;;;
3543253;Interior;Ribeirão Grande;471;8;;;
3543303;RMSP (exceto capital);Ribeirão Pires;8274;329;;;
3543402;Interior;Ribeirão Preto;71784;2669;;;
3543501;Interior;Riversul;537;26;;;
3543600;Interior;Rifaina;448;11;;;
3543709;Interior;Rincão;535;26;;;
3543808;Interior;Rinópolis;581;10;;;
3543907;Interior;Rio Claro;12172;538;;;
3544004;Interior;Rio das Pedras;3247;91;;;
3544103;RMSP (exceto capital);Rio Grande da Serra;2055;80;;;
3544202;Interior;Riolândia;1889;28;;;
3544251;Interior;Rosana;1470;43;;;
3544301;Interior;Roseira;1531;24;;;
3544400;Interior;Rubiácea;198;9;;;
3544509;Interior;Rubinéia;396;6;;;
3544608;Interior;Sabino;276;27;;;
3544707;Interior;Sagres;248;3;;;
3544806;Interior;Sales;453;27;;;
3544905;Interior;Sales Oliveira;1742;28;;;
3545001;RMSP (exceto capital);Salesópolis;634;48;;;
3545100;Interior;Salmourão;312;21;;;
3545159;Interior;Saltinho;928;17;;;
3545209;Interior;Salto;11854;325;;;
3545308;Interior;Salto de Pirapora;4075;171;;;
3545407;Interior;Salto Grande;823;7;;;
3545506;Interior;Sandovalina;384;10;;;
3545605;Interior;Santa Adélia;1561;55;;;
3545704;Interior;Santa Albertina;575;21;;;
3545803;Interior;Santa Bárbara d'Oeste;21390;727;;;
3546009;Interior;Santa Branca;1168;32;;;
3546108;Interior;Santa Clara d'Oeste;238;15;;;
3546207;Interior;Santa Cruz da Conceição;644;13;;;
3546256;Interior;Santa Cruz da Esperança;192;4;;;
3546306;Interior;Santa Cruz das Palmeiras;3716;108;;;
3546405;Interior;Santa Cruz do Rio Pardo;6402;162;;;
3546504;Interior;Santa Ernestina;536;15;;;
3546603;Interior;Santa Fé do Sul;4665;107;;;
3546702;Interior;Santa Gertrudes;3542;69;;;
3546801;RMSP (exceto capital);Santa Isabel;5809;241;;;
3546900;Interior;Santa Lúcia;663;19;;;
3547007;Interior;Santa Maria da Serra;769;8;;;
3547106;Interior;Santa Mercedes;240;4;;;
3547205;Interior;Santana da Ponte Pensa;49;3;;;
3547304;RMSP (exceto capital);Santana de Parnaíba;14254;353;;;
3547403;Interior;Santa Rita d'Oeste;279;8;;;
3547502;Interior;Santa Rita do Passa Quatro;1640;37;;;
3547601;Interior;Santa Rosa de Viterbo;2135;39;;;
3547650;Interior;Santa Salete;194;6;;;
3547700;Interior;Santo Anastácio;1622;34;;;
3547809;RMSP (exceto capital);Santo André;60533;2869;;;
3547908;Interior;Santo Antônio da Alegria;809;18;;;
3548005;Interior;Santo Antônio de Posse;3035;43;;;
3548054;Interior;Santo Antônio do Aracanguá;673;29;;;
3548104;Interior;Santo Antônio do Jardim;515;20;;;
3548203;Interior;Santo Antônio do Pinhal;665;8;;;
3548302;Interior;Santo Expedito;174;5;;;
3548401;Interior;Santópolis do Aguapeí;536;14;;;
3548500;Interior;Santos;56523;2012;;;
3548609;Interior;São Bento do Sapucaí;719;12;;;
